,optimizer,iteration,mean_time,lb,ub
42,cocabo,42,1.5496183898713853,1.5275980668266615,1.5706946906447412
43,cocabo,43,1.5501347011990017,1.5263964053988457,1.5709300458100106
44,cocabo,44,1.551088563601176,1.5293112241890696,1.5724431880315144
45,cocabo,45,1.5489818096160888,1.5270684011446105,1.572237067884869
46,cocabo,46,1.5511432117886013,1.5275736492209966,1.5737430848346816
47,cocabo,47,1.554215959707896,1.5305530928903157,1.5767445444398456
48,cocabo,48,1.5619184560245938,1.5386892619397905,1.585001289082898
49,cocabo,49,1.5577197406027052,1.5355103633801144,1.5825369635224342
50,cocabo,50,1.5642914017041525,1.5400389578938485,1.5872039384974375
51,cocabo,51,1.5630625168482462,1.5404946513970692,1.5850727183620137
52,cocabo,52,1.5646600193447537,1.5428951161768703,1.5884254640340805
53,cocabo,53,1.5644343773523965,1.5406367034382291,1.5879460818568867
54,cocabo,54,1.5630063745710585,1.5404921423064337,1.5870369009508027
55,cocabo,55,1.5512808216942682,1.5276507473654217,1.5757990712589687
56,cocabo,56,1.5824951026174756,1.5603034083379639,1.6051699958907233
57,cocabo,57,1.586370407210456,1.5630519450041984,1.6090020364522934
58,cocabo,58,1.5865948359171549,1.5626886142955887,1.6113206462727654
59,cocabo,59,1.5873899340629578,1.5642188305987252,1.611751538084613
60,cocabo,60,1.5907218999332853,1.5673426336050034,1.6127638881405195
61,cocabo,61,1.5889075915018718,1.56582884401083,1.612033387919267
62,cocabo,62,1.5921880099508496,1.571159718864494,1.6135764093200364
63,cocabo,63,1.5902228209707472,1.565292192167706,1.6129265379243425
64,cocabo,64,1.599411662419637,1.573976016110844,1.6232239798373647
65,cocabo,65,1.5994648973147074,1.5754200571113164,1.6238079125682512
66,cocabo,66,1.5978470457924736,1.571969933576054,1.619800802204344
67,cocabo,67,1.5991057223743863,1.5747333397136793,1.6216064409746065
68,cocabo,68,1.5993580884403653,1.576483611067136,1.6238393503427506
69,cocabo,69,1.599782145023346,1.5757983454399638,1.6229444823331303
70,cocabo,70,1.594715506500668,1.5717422882715861,1.618421288629373
71,cocabo,71,1.5951771709654066,1.5696613847878242,1.6214548059635692
72,cocabo,72,1.62965038617452,1.604064978659153,1.6543122946222624
73,cocabo,73,1.62286516295539,1.5998366656237177,1.6469137014283075
74,cocabo,74,1.6306123110983106,1.6066732722851966,1.6543863870700202
75,cocabo,75,1.6260094139311048,1.6025698050525454,1.650417787598239
76,cocabo,76,1.6305010080337525,1.6068144751257367,1.6547928314407665
77,cocabo,77,1.6263007760047912,1.6029217384258907,1.6510006051262218
78,cocabo,78,1.6280119313134087,1.6021141712201967,1.6512572308712536
79,cocabo,79,1.6237420797348023,1.6016791563563877,1.6471452065640027
80,cocabo,80,1.632300701406267,1.6073460155725479,1.6576995601587825
81,cocabo,81,1.6313686344358656,1.6079624256822798,1.654986870288849
82,cocabo,82,1.6319587892956204,1.6067075006498233,1.6566397170888054
83,cocabo,83,1.6291996452543471,1.6051106002926827,1.653568375474877
84,cocabo,84,1.6332219627168443,1.60787892639637,1.65720391717222
85,cocabo,85,1.6331833044687907,1.6068472609586186,1.6591351176632776
86,cocabo,86,1.63183051082823,1.6046872447596656,1.6553799890147314
87,cocabo,87,1.6391417728530036,1.6151817601588037,1.6629129123356607
88,cocabo,88,1.6667017512851292,1.6431192910340098,1.6907138596971831
89,cocabo,89,1.673572391933865,1.648903707034058,1.6967522965206039
90,cocabo,90,1.6682342529296874,1.645099544260237,1.6931969736682044
