,optimizer,iteration,mean_time,lb,ub
1310,pfn_cocabo_51,1310.0,5.536158453334462,5.161948024142872,5.8945926715027195
1410,pfn_cocabo_51,1410.0,5.640705477107655,5.203606310215863,6.104791603846984
1510,pfn_cocabo_51,1510.0,5.7907232587987725,5.317391965605997,6.309386043656956
1610,pfn_cocabo_51,1610.0,5.998193220658735,5.595118115706877,6.387251908670772
1710,pfn_cocabo_51,1710.0,5.878111037341031,5.431478419629011,6.322005836530165
1810,pfn_cocabo_51,1810.0,5.919710917906328,5.412980783527548,6.392775278741663
1910,pfn_cocabo_51,1910.0,6.226339166814631,5.698594877936623,6.681890480084853
2010,pfn_cocabo_51,2010.0,6.443931622938677,5.979415755922144,6.811387839642438
2110,pfn_cocabo_51,2110.0,6.749408635226163,6.254962065544996,7.105996322089975
2210,pfn_cocabo_51,2210.0,7.714724193919789,6.886842133782127,8.347157845172015
2310,pfn_cocabo_51,2310.0,7.6280714598569,6.5477605846795175,8.51812430186705
2410,pfn_cocabo_51,2410.0,7.135141025890004,6.086163565787402,8.195733966068788
2510,pfn_cocabo_51,2510.0,6.994009798223322,5.834774564612995,8.186802473393353
2610,pfn_cocabo_51,2610.0,6.592990831895308,5.360546750372106,7.649461777101863
2710,pfn_cocabo_51,2710.0,7.160696549849077,6.084680066867308,8.228588756647977
2810,pfn_cocabo_51,2810.0,6.592083995992487,5.522735444524072,7.5860624801028855
2910,pfn_cocabo_51,2910.0,5.668117544867775,4.68270375457677,6.734544084830718
110,bodi,110.0,3.106299771202935,2.8490888840622373,3.5118906252914006
210,bodi,210.0,3.462433417638143,3.0709244569142657,4.104184483819537
310,bodi,310.0,3.8363439506954617,3.441414193974601,4.512437268760469
410,bodi,410.0,4.141154050827026,3.866080511278576,4.512899953789182
510,bodi,510.0,5.192676146825154,4.634486862023671,5.957316062185499
610,bodi,610.0,6.867296430799696,6.345440977149539,7.587244107988146
710,bodi,710.0,8.042791525522867,7.642869671185811,8.496439182758332
810,bodi,810.0,9.31455691655477,8.745609949694739,10.162913844320508
910,bodi,910.0,11.66643918885125,11.114361629221175,12.45168197022544
1010,bodi,1010.0,13.373529195785522,12.92698052459293,13.79725639687644
1110,bodi,1110.0,17.451653056674534,16.761541638109417,18.387054885758292
1210,bodi,1210.0,19.458154016070896,18.928549049960242,20.060713896486494
1310,bodi,1310.0,23.832354836993748,23.23947819073995,24.593131877978642
1410,bodi,1410.0,28.452738788392807,27.912429922156864,29.134689611196517
1510,bodi,1510.0,31.357867373360527,30.87562072277069,31.829908061027528
1610,bodi,1610.0,38.11807420518663,37.41110089619954,38.889230694373445
1710,bodi,1710.0,41.683634757995605,41.135927051968046,42.26111833982998
1810,bodi,1810.0,48.37331986427307,47.6533496565289,49.16532111167908
1910,bodi,1910.0,52.66385862562392,52.0745493180222,53.21098126835293
2010,bodi,2010.0,59.37965448697408,58.86668133536975,59.87440942194727
2110,bodi,2110.0,65.34658699565463,64.46655919684304,66.21561956538095
2210,bodi,2210.0,78.7172549035814,77.7723595076137,79.6849681403902
2310,bodi,2310.0,83.17903057734172,78.11874167919159,86.67980515824424
2410,bodi,2410.0,83.31664458910625,76.04988081455231,90.22033821741739
2510,bodi,2510.0,89.28525206777785,81.20821684930058,97.53770508501265
2610,bodi,2610.0,93.27748828464084,84.50856978760825,102.37529824243651
2710,bodi,2710.0,94.84763847457037,84.88637389275763,104.67302108208338
2810,bodi,2810.0,101.5795129140218,90.94047115643819,112.25073906977971
2910,bodi,2910.0,106.44862164391412,98.52265351547135,115.70638631780942
110,casmopolitan,110.0,2.456347768956965,1.9645935844291342,3.116291941837831
210,casmopolitan,210.0,2.9020582979375664,2.2920643253759905,3.7196682333946223
310,casmopolitan,310.0,3.2381591580130835,2.6230876835909758,4.158195506984537
410,casmopolitan,410.0,3.5390806631608442,3.0665240022269162,4.20961144729094
510,casmopolitan,510.0,4.241027030077848,3.6042491311376748,5.123973729393699
610,casmopolitan,610.0,5.938430179249156,5.362438932332125,6.735480804876848
710,casmopolitan,710.0,6.9906323606317695,6.414945451779799,7.682746867700056
810,casmopolitan,810.0,8.085036667910488,7.356292285160586,9.073530122366819
910,casmopolitan,910.0,10.042213830080899,9.364227456396275,10.912910994074561
1010,casmopolitan,1010.0,12.0343026898124,11.418253857439215,12.870286879214374
1110,casmopolitan,1110.0,16.19537773999301,15.418490639058026,17.13100681900978
1210,casmopolitan,1210.0,18.10738741267811,17.40370991338383,18.84270839366046
1310,casmopolitan,1310.0,21.962769508361816,21.09405046105385,22.802150308543986
1410,casmopolitan,1410.0,26.159777554598723,25.498763193867426,26.760693569616837
1510,casmopolitan,1510.0,29.25041447986256,28.440826363997026,30.028084422241555
1610,casmopolitan,1610.0,35.72489725459706,34.88181442726742,36.4995171232657
1710,casmopolitan,1710.0,39.32174693454396,38.400950981812045,40.11453489715403
1810,casmopolitan,1810.0,46.2968638160012,45.1678915088827,47.34156144207174
1910,casmopolitan,1910.0,45.63980468836698,42.88615758473223,48.43840540430763
2010,casmopolitan,2010.0,51.29637343233282,48.013004034215754,54.646527669646524
2110,casmopolitan,2110.0,53.96349022605202,50.39918936274268,57.6257912776687
