,optimizer,task_name,iteration,mean_rank,lb,ub,mean_proportion
101,PFN-Casmopolitan,xgboost_opt,101.0,,0.23333333333333334,0.6,0.4166666666666667
102,PFN-Casmopolitan,xgboost_opt,102.0,,0.3,0.6333333333333333,0.4666666666666667
103,PFN-Casmopolitan,xgboost_opt,103.0,,0.3,0.6333333333333333,0.4666666666666667
104,PFN-Casmopolitan,xgboost_opt,104.0,,0.3329166666666667,0.65,0.48333333333333334
105,PFN-Casmopolitan,xgboost_opt,105.0,,0.3,0.6666666666666666,0.48333333333333334
106,PFN-Casmopolitan,xgboost_opt,106.0,,0.31666666666666665,0.6666666666666666,0.48333333333333334
107,PFN-Casmopolitan,xgboost_opt,107.0,,0.3,0.65,0.48333333333333334
108,PFN-Casmopolitan,xgboost_opt,108.0,,0.3,0.6333333333333333,0.4666666666666667
109,PFN-Casmopolitan,xgboost_opt,109.0,,0.2833333333333333,0.65,0.4666666666666667
110,PFN-Casmopolitan,xgboost_opt,110.0,,0.2833333333333333,0.65,0.4666666666666667
111,PFN-Casmopolitan,xgboost_opt,111.0,,0.2833333333333333,0.6333333333333333,0.4666666666666667
112,PFN-Casmopolitan,xgboost_opt,112.0,,0.3,0.65,0.48333333333333334
113,PFN-Casmopolitan,xgboost_opt,113.0,,0.3,0.6166666666666667,0.4666666666666667
114,PFN-Casmopolitan,xgboost_opt,114.0,,0.31666666666666665,0.6333333333333333,0.4666666666666667
115,PFN-Casmopolitan,xgboost_opt,115.0,,0.3,0.6333333333333333,0.4666666666666667
116,PFN-Casmopolitan,xgboost_opt,116.0,,0.3,0.6166666666666667,0.4666666666666667
117,PFN-Casmopolitan,xgboost_opt,117.0,,0.3,0.6166666666666667,0.4666666666666667
118,PFN-Casmopolitan,xgboost_opt,118.0,,0.3,0.6333333333333333,0.4666666666666667
119,PFN-Casmopolitan,xgboost_opt,119.0,,0.31666666666666665,0.65,0.48333333333333334
120,PFN-Casmopolitan,xgboost_opt,120.0,,0.3329166666666667,0.65,0.48333333333333334
121,PFN-Casmopolitan,xgboost_opt,121.0,,0.3333333333333333,0.6666666666666666,0.5
122,PFN-Casmopolitan,xgboost_opt,122.0,,0.3,0.6333333333333333,0.4666666666666667
123,PFN-Casmopolitan,xgboost_opt,123.0,,0.3,0.6333333333333333,0.4666666666666667
124,PFN-Casmopolitan,xgboost_opt,124.0,,0.31625000000000003,0.6333333333333333,0.4666666666666667
125,PFN-Casmopolitan,xgboost_opt,125.0,,0.2833333333333333,0.6,0.45
126,PFN-Casmopolitan,xgboost_opt,126.0,,0.3,0.6166666666666667,0.45
127,PFN-Casmopolitan,xgboost_opt,127.0,,0.31666666666666665,0.65,0.48333333333333334
128,PFN-Casmopolitan,xgboost_opt,128.0,,0.31666666666666665,0.65,0.48333333333333334
129,PFN-Casmopolitan,xgboost_opt,129.0,,0.31666666666666665,0.6333333333333333,0.48333333333333334
130,PFN-Casmopolitan,xgboost_opt,130.0,,0.31666666666666665,0.65,0.48333333333333334
131,PFN-Casmopolitan,xgboost_opt,131.0,,0.31666666666666665,0.6333333333333333,0.48333333333333334
