,optimizer_name,task_name,n_training_data,mean_rank,lb,ub
49,dummy_baseline,michalewicz,49.0,5.51,5.2197499999999994,5.81
64,dummy_baseline,michalewicz,64.0,5.51,5.15,5.8302499999999995
81,dummy_baseline,michalewicz,81.0,5.83,5.46,6.15025
100,dummy_baseline,michalewicz,100.0,6.03,5.77,6.3
121,dummy_baseline,michalewicz,121.0,6.35,6.11,6.59
144,dummy_baseline,michalewicz,144.0,6.45,6.2,6.67
169,dummy_baseline,michalewicz,169.0,6.49,6.269749999999999,6.69
196,dummy_baseline,michalewicz,196.0,6.61,6.36,6.810249999999999
4,pfn_cocabo_51,michalewicz,4.0,3.69,3.36,4.000249999999999
9,pfn_cocabo_51,michalewicz,9.0,2.8,2.48,3.1102499999999997
16,pfn_cocabo_51,michalewicz,16.0,2.18,1.95,2.45
25,pfn_cocabo_51,michalewicz,25.0,2.52,2.25,2.78
36,pfn_cocabo_51,michalewicz,36.0,2.13,1.92,2.35
49,pfn_cocabo_51,michalewicz,49.0,2.15,1.9497499999999999,2.39025
64,pfn_cocabo_51,michalewicz,64.0,2.23,2.04,2.45
81,pfn_cocabo_51,michalewicz,81.0,2.41,2.21,2.61
100,pfn_cocabo_51,michalewicz,100.0,2.26,2.06,2.46
121,pfn_cocabo_51,michalewicz,121.0,2.44,2.23,2.66
144,pfn_cocabo_51,michalewicz,144.0,2.36,2.17,2.55
169,pfn_cocabo_51,michalewicz,169.0,2.63,2.43,2.83
196,pfn_cocabo_51,michalewicz,196.0,2.71,2.51,2.91
4,pfn_casmopolitan_16,michalewicz,4.0,3.53,3.24975,3.84
9,pfn_casmopolitan_16,michalewicz,9.0,2.82,2.56,3.1
16,pfn_casmopolitan_16,michalewicz,16.0,2.8,2.57,3.04
25,pfn_casmopolitan_16,michalewicz,25.0,2.74,2.5,2.97025
36,pfn_casmopolitan_16,michalewicz,36.0,2.59,2.37,2.84
49,pfn_casmopolitan_16,michalewicz,49.0,2.64,2.41975,2.85
64,pfn_casmopolitan_16,michalewicz,64.0,2.71,2.46,2.97025
81,pfn_casmopolitan_16,michalewicz,81.0,3.1,2.83,3.35
100,pfn_casmopolitan_16,michalewicz,100.0,2.72,2.45975,3.0
121,pfn_casmopolitan_16,michalewicz,121.0,3.11,2.80975,3.4
144,pfn_casmopolitan_16,michalewicz,144.0,2.83,2.56975,3.08
169,pfn_casmopolitan_16,michalewicz,169.0,3.08,2.80975,3.38
196,pfn_casmopolitan_16,michalewicz,196.0,3.14,2.86,3.41
4,pfn_bodi_24,michalewicz,4.0,4.67,4.34,4.9605
9,pfn_bodi_24,michalewicz,9.0,3.92,3.64,4.21
16,pfn_bodi_24,michalewicz,16.0,3.96,3.72,4.21
25,pfn_bodi_24,michalewicz,25.0,4.1,3.82,4.36
36,pfn_bodi_24,michalewicz,36.0,3.95,3.68,4.21
49,pfn_bodi_24,michalewicz,49.0,4.51,4.21,4.81
64,pfn_bodi_24,michalewicz,64.0,4.24,3.97,4.520249999999999
81,pfn_bodi_24,michalewicz,81.0,4.65,4.38,4.89
100,pfn_bodi_24,michalewicz,100.0,4.71,4.46,4.95025
121,pfn_bodi_24,michalewicz,121.0,4.89,4.63,5.18
144,pfn_bodi_24,michalewicz,144.0,5.06,4.81,5.2902499999999995
169,pfn_bodi_24,michalewicz,169.0,5.24,5.01,5.45
196,pfn_bodi_24,michalewicz,196.0,5.44,5.22975,5.63
4,cocabo,griewank,4.0,4.18,3.77975,4.640249999999999
9,cocabo,griewank,9.0,4.91,4.46,5.29
16,cocabo,griewank,16.0,4.61,4.179749999999999,5.05
25,cocabo,griewank,25.0,3.85,3.4097500000000003,4.25
36,cocabo,griewank,36.0,4.03,3.57,4.47
49,cocabo,griewank,49.0,2.68,2.31,3.0702499999999997
64,cocabo,griewank,64.0,2.28,1.98975,2.62025
81,cocabo,griewank,81.0,1.75,1.53,1.99
100,cocabo,griewank,100.0,1.56,1.4,1.72
121,cocabo,griewank,121.0,1.53,1.38,1.71
144,cocabo,griewank,144.0,1.41,1.27975,1.57
169,cocabo,griewank,169.0,1.51,1.37,1.68
196,cocabo,griewank,196.0,1.59,1.4,1.79
4,casmopolitan,griewank,4.0,4.59,4.15,5.010249999999999
9,casmopolitan,griewank,9.0,4.59,4.14,4.98
16,casmopolitan,griewank,16.0,4.55,4.14,4.95
25,casmopolitan,griewank,25.0,4.45,3.98,4.91
36,casmopolitan,griewank,36.0,3.82,3.44,4.18
49,casmopolitan,griewank,49.0,3.49,3.13,3.84
64,casmopolitan,griewank,64.0,3.04,2.72975,3.36
