,optimizer_name,comparison,task_name,n_training_data,mean_rank,lb,ub
9,BODi,vs. MCBO,All Tasks,9.0,2.762,2.67395,2.8440499999999997
16,BODi,vs. MCBO,All Tasks,16.0,2.842,2.74995,2.93
25,BODi,vs. MCBO,All Tasks,25.0,2.878,2.78995,2.97
36,BODi,vs. MCBO,All Tasks,36.0,3.022,2.934,3.11
49,BODi,vs. MCBO,All Tasks,49.0,2.99,2.8979500000000002,3.07605
64,BODi,vs. MCBO,All Tasks,64.0,2.982,2.88795,3.07
81,BODi,vs. MCBO,All Tasks,81.0,2.922,2.82995,3.018
100,BODi,vs. MCBO,All Tasks,100.0,2.942,2.858,3.022
121,BODi,vs. MCBO,All Tasks,121.0,2.82,2.738,2.90205
144,BODi,vs. MCBO,All Tasks,144.0,2.744,2.656,2.8320499999999997
169,BODi,vs. MCBO,All Tasks,169.0,2.694,2.60595,2.78
196,BODi,vs. MCBO,All Tasks,196.0,2.592,2.506,2.674
4,PFN-Mixed,vs. MCBO,All Tasks,4.0,2.104,2.014,2.19605
9,PFN-Mixed,vs. MCBO,All Tasks,9.0,1.762,1.682,1.852
16,PFN-Mixed,vs. MCBO,All Tasks,16.0,1.678,1.6,1.758
25,PFN-Mixed,vs. MCBO,All Tasks,25.0,1.86,1.78,1.9540499999999998
36,PFN-Mixed,vs. MCBO,All Tasks,36.0,1.91,1.82,1.996
49,PFN-Mixed,vs. MCBO,All Tasks,49.0,2.214,2.12,2.314
64,PFN-Mixed,vs. MCBO,All Tasks,64.0,2.312,2.214,2.408
81,PFN-Mixed,vs. MCBO,All Tasks,81.0,2.616,2.51,2.712
100,PFN-Mixed,vs. MCBO,All Tasks,100.0,2.716,2.612,2.828
121,PFN-Mixed,vs. MCBO,All Tasks,121.0,2.992,2.8939500000000002,3.092
144,PFN-Mixed,vs. MCBO,All Tasks,144.0,3.076,2.9699,3.1700999999999997
169,PFN-Mixed,vs. MCBO,All Tasks,169.0,3.132,3.03795,3.232
196,PFN-Mixed,vs. MCBO,All Tasks,196.0,3.258,3.174,3.348
