,optimizer,comparison,task,iteration,mean_rank,lb,ub
131,PFN-CoCaBO,vs. PFNs,griewank,131.0,2.8,2.4,3.2333333333333334
132,PFN-CoCaBO,vs. PFNs,griewank,132.0,2.8,2.4,3.1666666666666665
133,PFN-CoCaBO,vs. PFNs,griewank,133.0,2.8,2.4,3.2
134,PFN-CoCaBO,vs. PFNs,griewank,134.0,2.8,2.4,3.2
135,PFN-CoCaBO,vs. PFNs,griewank,135.0,2.7666666666666666,2.3333333333333335,3.1666666666666665
136,PFN-CoCaBO,vs. PFNs,griewank,136.0,2.7666666666666666,2.3666666666666667,3.1666666666666665
137,PFN-CoCaBO,vs. PFNs,griewank,137.0,2.7666666666666666,2.3333333333333335,3.1666666666666665
138,PFN-CoCaBO,vs. PFNs,griewank,138.0,2.7,2.3,3.1
139,PFN-CoCaBO,vs. PFNs,griewank,139.0,2.7,2.2333333333333334,3.1333333333333333
140,PFN-CoCaBO,vs. PFNs,griewank,140.0,2.7,2.2666666666666666,3.0674999999999994
141,PFN-CoCaBO,vs. PFNs,griewank,141.0,2.7,2.2333333333333334,3.1333333333333333
142,PFN-CoCaBO,vs. PFNs,griewank,142.0,2.6333333333333333,2.2,3.066666666666667
143,PFN-CoCaBO,vs. PFNs,griewank,143.0,2.6666666666666665,2.2666666666666666,3.066666666666667
144,PFN-CoCaBO,vs. PFNs,griewank,144.0,2.6666666666666665,2.2666666666666666,3.066666666666667
145,PFN-CoCaBO,vs. PFNs,griewank,145.0,2.6666666666666665,2.2333333333333334,3.1
146,PFN-CoCaBO,vs. PFNs,griewank,146.0,2.6666666666666665,2.265833333333333,3.066666666666667
147,PFN-CoCaBO,vs. PFNs,griewank,147.0,2.6333333333333333,2.2325,3.0674999999999994
148,PFN-CoCaBO,vs. PFNs,griewank,148.0,2.6333333333333333,2.2,3.033333333333333
149,PFN-CoCaBO,vs. PFNs,griewank,149.0,2.6333333333333333,2.2333333333333334,3.066666666666667
150,PFN-CoCaBO,vs. PFNs,griewank,150.0,2.566666666666667,2.1333333333333333,3.033333333333333
151,PFN-CoCaBO,vs. PFNs,griewank,151.0,2.566666666666667,2.1,3.0
152,PFN-CoCaBO,vs. PFNs,griewank,152.0,2.6,2.1666666666666665,3.033333333333333
