,optimizer,x_type,x_val,mean_overlap,lb,ub
49,BODi_dummy_baseline,Number of Training Data,49,0.6221688421490671,0.6107539820306315,0.6327122818050074
64,BODi_dummy_baseline,Number of Training Data,64,0.6013886974574156,0.589661592880793,0.6126970831650738
81,BODi_dummy_baseline,Number of Training Data,81,0.58564824583359,0.5737854034690664,0.597584222865117
100,BODi_dummy_baseline,Number of Training Data,100,0.5748420938509683,0.5624267444710381,0.5873499158022117
121,BODi_dummy_baseline,Number of Training Data,121,0.5560287147256647,0.5439127767151442,0.5691013129889361
144,BODi_dummy_baseline,Number of Training Data,144,0.5415897992263867,0.5282058882374552,0.555299258572515
169,BODi_dummy_baseline,Number of Training Data,169,0.5309719563279184,0.517213377485102,0.5439013434297202
196,BODi_dummy_baseline,Number of Training Data,196,0.5208314460137936,0.5078538290858234,0.5344423300341569
2,pfn_cocabo_51,Number of Dimensions,2,0.8711850964894858,0.8618536295912004,0.8808152049947484
3,pfn_cocabo_51,Number of Dimensions,3,0.8323610103322814,0.8237388155877586,0.8405114600177864
4,pfn_cocabo_51,Number of Dimensions,4,0.8496559955268759,0.8438884741899002,0.855768612679444
5,pfn_cocabo_51,Number of Dimensions,5,0.8399690182132747,0.8343481828192617,0.8452034960370638
6,pfn_cocabo_51,Number of Dimensions,6,0.8312312240666307,0.8241897911716612,0.8386275702103065
7,pfn_cocabo_51,Number of Dimensions,7,0.8125791935394776,0.8061853274675941,0.8194098944820292
8,pfn_cocabo_51,Number of Dimensions,8,0.7989815130682021,0.7936593545714442,0.8042864780244674
9,pfn_cocabo_51,Number of Dimensions,9,0.7942257407655442,0.7873523251097788,0.8012306991067417
10,pfn_cocabo_51,Number of Dimensions,10,0.7785024572183122,0.7723861348518556,0.7849247532730081
11,pfn_cocabo_51,Number of Dimensions,11,0.7572325942775331,0.7456397843691659,0.769417030171575
12,pfn_cocabo_51,Number of Dimensions,12,0.774047213508542,0.7663796967005815,0.7809703379928039
13,pfn_cocabo_51,Number of Dimensions,13,0.7510649418067895,0.7416928677227593,0.7617291941840307
14,pfn_cocabo_51,Number of Dimensions,14,0.7910983463057829,0.7832860550953576,0.7988388055811996
15,pfn_cocabo_51,Number of Dimensions,15,0.7206650789225795,0.7102964920268091,0.7316343001519133
16,pfn_cocabo_51,Number of Dimensions,16,0.777372080355502,0.7695268661188217,0.7847662341260272
17,pfn_cocabo_51,Number of Dimensions,17,0.752237238234925,0.745057278894304,0.7594735759482611
18,pfn_cocabo_51,Number of Dimensions,18,0.7384669517949309,0.7246047949734492,0.7524773493198665
2,pfn_casmopolitan_16,Number of Dimensions,2,0.8700966490071217,0.8596473179857301,0.8799923300078608
3,pfn_casmopolitan_16,Number of Dimensions,3,0.8160057612558639,0.8076127921504785,0.8240357663478064
